StationID,StationName,StationAddress,BikesCapacity,AvailableRentBikes,ElectricBikes,GeneralBikes,AvailableReturnBikes,UpdateTime
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,3,1,2,27,2024-09-24T21:30:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:30:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,0,0,0,24,2024-09-24T21:30:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:30:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,6,0,6,4,2024-09-24T21:30:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:30:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,6,1,5,11,2024-09-24T21:30:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-24T21:30:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,3,1,2,27,2024-09-24T21:30:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:30:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,0,0,0,24,2024-09-24T21:30:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:30:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,6,0,6,4,2024-09-24T21:30:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:30:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,6,1,5,11,2024-09-24T21:30:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-24T21:30:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,3,1,2,27,2024-09-24T21:30:39+08:00
